Nombre,Slug,Tipo_actual,Tipo_propuesto,Servicio_1,Servicio_2,Servicio_3
"Synergym Logroño Ribera",synergym-logrono-ribera,yoga,pilates,"Yoga","Pilates",""
"Synergym Lugo Piringalla",synergym-lugo-piringalla,yoga,pilates,"Yoga","Pilates",""
"Synergym Miranda de Ebro",synergym-miranda-de-ebro,yoga,pilates,"Yoga","Pilates",""
"Synergym Motril Sur",synergym-motril-sur,yoga,pilates,"Yoga","Pilates",""
"Synergym Oviedo San Miguel",synergym-oviedo-san-miguel,yoga,pilates,"Yoga","Pilates",""
"Synergym Plasencia",synergym-plasencia,yoga,pilates,"Yoga","Pilates",""
"Synergym Ponferrada la Rosaleda",synergym-ponferrada-la-rosaleda,yoga,pilates,"Yoga","Pilates",""
"Synergym Reus Carrillet",synergym-reus-carrillet,yoga,pilates,"Yoga","Pilates",""
"Synergym San Fernando Centro",synergym-san-fernando-centro,yoga,pilates,"Yoga","Pilates",""
"Synergym Toledo Buenavista",synergym-toledo-buenavista,yoga,yoga,"Yoga","Pilates",""
"Synergym Villava",synergym-villava,yoga,pilates,"Yoga","Pilates",""
"Synergym Vitoria Borinbizkarra",synergym-vitoria-borinbizkarra,yoga,pilates,"Yoga","Pilates",""
"Synergym Vitoria Zaramaga",synergym-vitoria-zaramaga,yoga,pilates,"Yoga","Pilates",""
"Synergym Zamora University",synergym-zamora-university,yoga,pilates,"Yoga","Pilates",""
